source,target,type,name,distance,type_num,node_type_num,node_tg_type_num,cluster_distance,cluster_type,cluster_across
105,1826,road,D139,0.164142113,1,1,1,2,1,0
106,736,road,D370,0.454531896,1,1,1,2,1,0
107,2889,road,D113,1.450983798,1,1,1,1,1,0
107,1124,road,D160,2.468352258,1,1,1,1,1,0
108,2198,road,None,0.73568779,1,1,1,2,1,0
108,1494,road,None,1.539222797,1,1,1,1,1,0
109,10986,road,D838,1.661379731,1,1,1,1,1,0
110,5810,road,None,0.516528534,1,1,1,2,1,0
111,2513,road,N20,1.083241599,1,1,1,2,1,0
111,10470,road,D603,0.388716364,1,1,1,2,1,0
112,4752,road,None,1.631167713,1,1,1,1,1,0
112,1181,road,D28,2.696691259,1,1,1,1,1,0
113,9198,road,None,6.727040024,1,1,1,0,1,0
113,7321,road,D148,6.835589081,1,1,1,0,1,0
114,6602,road,D906,1.38129882,1,1,1,1,1,0
114,9240,road,D306,2.297731657,1,1,1,1,1,0
114,12013,crosslayer,None,0.398795971,4,1,4,2,4,1
115,10746,road,None,2.05139099,1,1,1,1,1,0
116,2973,road,None,0.606976084,1,1,1,2,1,0
117,11205,road,D56,0.398049792,1,1,1,2,1,0
117,8303,road,D99,1.439110737,1,1,1,1,1,0
117,2444,road,D99,0.600305374,1,1,1,2,1,0
118,2828,road,D82,0.263747059,1,1,1,2,1,0
118,11605,road,D148,0.144297876,1,1,1,2,1,0
119,8787,road,D35,0.487152373,1,1,1,2,1,0
120,3604,road,D57,0.154464363,1,1,1,2,1,0
120,12149,crosslayer,None,0.569137345,4,1,4,2,4,1
121,11504,road,D31,0.296668584,1,1,1,2,1,0
121,4165,road,D31,1.418968858,1,1,1,1,1,0
122,4011,road,D445,0.118868045,1,1,1,2,1,0
123,6841,road,None,0.201389523,1,1,1,2,1,0
124,10449,road,None,0.277792929,1,1,1,2,1,0
124,6228,road,None,0.350193396,1,1,1,2,1,0
125,6229,road,None,0.163326737,1,1,1,2,1,0
125,1266,road,D9,0.378676595,1,1,1,2,1,0
126,2067,road,N184,1.382168554,1,1,1,1,1,0
126,4555,road,A15,0.758141128,1,1,1,2,1,0
127,2703,road,D301,1.055359229,1,1,1,2,1,0
128,659,road,D6,1.121045482,1,1,1,2,1,0
129,9915,road,None,1.489876164,1,1,1,1,1,0
129,6656,road,D912,2.001513954,1,1,1,1,1,0
131,3821,road,D909,1.12301627,1,1,1,2,1,0
131,4466,road,D909Z,1.188111623,1,1,1,2,1,0
132,4631,road,D25,0.886500624,1,1,1,2,1,0
132,58,road,D29,1.503147042,1,1,1,1,1,0
133,8343,road,D983,0.698989465,1,1,1,2,1,0
135,9059,road,None,0.104790476,1,1,1,2,1,0
135,5049,road,D13,0.144322167,1,1,1,2,1,0
136,6640,road,D17,0.052096961,1,1,1,2,1,0
136,12130,crosslayer,None,0.707563793,4,1,4,2,4,1
137,696,road,A3,0.939749467,1,1,1,2,1,0
137,4295,road,D78,0.145348817,1,1,1,2,1,0
138,6640,road,D9,0.10767568,1,1,1,2,1,0
138,7146,road,D17,1.615943421,1,1,1,1,1,0
138,12130,crosslayer,None,0.815554028,4,1,4,2,4,1
139,5430,road,None,0.032535643,1,1,1,2,1,0
140,876,road,D105,0.133004301,1,1,1,2,1,0
141,85,road,N186,0.360102526,1,1,1,2,1,0
141,9552,road,None,0.04155008,1,1,1,2,1,0
141,12183,crosslayer,None,0.236139653,4,1,4,2,4,1
142,95,road,None,0.256877092,1,1,1,2,1,0
142,10042,road,D902A,0.394185653,1,1,1,2,1,0
143,6299,road,None,0.222478353,1,1,1,2,1,0
144,9736,road,None,0.767067045,1,1,1,2,1,0
144,1721,road,None,3.313664025,1,1,1,1,1,0
144,12108,crosslayer,None,0.142905861,4,1,4,2,4,1
145,9119,road,None,0.135625815,1,1,1,2,1,0
145,8751,road,None,0.038371371,1,1,1,2,1,0
145,11784,crosslayer,None,0.283046457,4,1,4,2,4,1
145,11995,crosslayer,None,0.134273404,4,1,4,2,4,1
145,12114,crosslayer,None,0.788919147,4,1,4,2,4,1
146,6250,road,N410,0.638978167,1,1,1,2,1,0
146,5857,road,None,0.065732918,1,1,1,2,1,0
146,11717,crosslayer,None,0.173900528,4,1,4,2,4,1
147,10824,road,D41,0.842895805,1,1,1,2,1,0
147,5853,road,D115,0.059055183,1,1,1,2,1,0
147,12026,crosslayer,None,0.510590183,4,1,4,2,4,1
148,10342,road,None,0.54568059,1,1,1,2,1,0
149,7522,road,D998,0.484127306,1,1,1,2,1,0
149,143,road,None,0.471515364,1,1,1,2,1,0
150,10981,road,D30,0.049706215,1,1,1,2,1,0
150,12215,crosslayer,None,0.365963733,4,1,4,2,4,1
151,896,road,None,0.080358182,1,1,1,2,1,0
151,6248,road,None,0.073653084,1,1,1,2,1,0
152,8141,road,None,0.073779671,1,1,1,2,1,0
153,8670,road,None,0.151804418,1,1,1,2,1,0
154,1086,road,A15,0.364945656,1,1,1,2,1,0
155,5739,road,N7,0.84804768,1,1,1,2,1,0
155,1357,road,None,0.488868808,1,1,1,2,1,0
156,8777,road,D109,0.954238661,1,1,1,2,1,0
156,6100,road,D311,1.601805445,1,1,1,1,1,0
157,1555,road,D140,2.277401917,1,1,1,1,1,0
158,2238,road,D53,4.775340353,1,1,1,0,1,0
159,6664,road,None,0.122299324,1,1,1,2,1,0
159,11510,road,None,0.520670123,1,1,1,2,1,0
160,6101,road,N301,0.491768013,1,1,1,2,1,0
