source,target,type,name,node_lat,node_lon,node_tg_lat,node_tg_lon,node_type,node_tg_type,distance,type_num,node_type_num,node_tg_type_num
49.0,7797.0,road,None,2.55052,48.633074,2.547814,48.636014,road,road,0.4440694022618286,1,1,1
50.0,5944.0,road,D216,2.705788,48.735913,2.735115,48.742277,road,road,3.3367412924815847,1,1,1
50.0,6749.0,road,D216,2.705788,48.735913,2.7015,48.737674,road,road,0.5153637742131683,1,1,1
51.0,2026.0,road,None,1.994216,48.709375,1.990289,48.711159,road,road,0.4795601225133291,1,1,1
52.0,5339.0,road,A6,2.394439,48.640438,2.390243,48.644401,road,road,0.6415130107788607,1,1,1
53.0,7434.0,road,D182,2.153246,48.832736,2.153686,48.833436,road,road,0.0918895480024441,1,1,1
53.0,8646.0,road,D182A,2.153246,48.832736,2.146206,48.83305,road,road,0.7835894509698746,1,1,1
53.0,6951.0,road,None,2.153246,48.832736,2.159109,48.833056,road,road,0.6529047956904898,1,1,1
54.0,4164.0,road,N20,2.268138,48.639805,2.268451,48.640442,road,road,0.0788702383911722,1,1,1
55.0,5353.0,road,D118,2.391629,48.712252,2.393803,48.712884,road,road,0.2517283154681908,1,1,1
56.0,8904.0,road,N6,2.441963,48.71253,2.442791,48.718749,road,road,0.6970007139115411,1,1,1
56.0,10423.0,road,None,2.441963,48.71253,2.44361,48.713145,road,road,0.1954674899944422,1,1,1
57.0,9469.0,road,N440,2.393747,48.640452,2.390733,48.643216,road,road,0.4545490523196918,1,1,1
58.0,3431.0,road,D29,2.403989,48.712247,2.412981,48.718408,road,road,1.211703068932874,1,1,1
58.0,12045.0,crosslayer,None,2.403989,48.712247,2.403671,48.712594,road,crosslayer,0.0523114142570791,4,1,4
59.0,7472.0,road,None,2.363494,48.833351,2.359207,48.836724,road,road,0.6063558801642429,1,1,1
59.0,1374.0,road,None,2.363494,48.833351,2.371421,48.836321,road,road,0.9411793539328762,1,1,1
59.0,11828.0,crosslayer,None,2.363494,48.833351,2.368093,48.834948,road,crosslayer,0.54129050918124,4,1,4
59.0,11829.0,crosslayer,None,2.363494,48.833351,2.362866,48.833192,road,crosslayer,0.0720301146724048,4,1,4
60.0,1988.0,road,D120,2.518902,48.834086,2.514355,48.834338,road,road,0.506377722821949,1,1,1
60.0,7832.0,road,D120,2.518902,48.834086,2.519933,48.834567,road,road,0.126482698741873,1,1,1
61.0,7826.0,road,None,2.413008,48.83369,2.410512,48.834199,road,road,0.2832446743850822,1,1,1
61.0,7947.0,road,None,2.413008,48.83369,2.419887,48.834987,road,road,0.7783633712255413,1,1,1
62.0,9091.0,road,None,2.629261,48.834371,2.630292,48.835985,road,road,0.2128002778859336,1,1,1
62.0,3962.0,road,None,2.629261,48.834371,2.627703,48.836341,road,road,0.2790993118710649,1,1,1
62.0,12225.0,crosslayer,None,2.629261,48.834371,2.634113,48.838931,road,crosslayer,0.7400243026946287,4,1,4
63.0,6550.0,road,D74A,2.303172,48.78546,2.302818,48.785853,road,road,0.0587879072492596,1,1,1
