node,lat,lon,city,city_num,state,state_num
2603,40.708731,109.800325,Baotou City,23,Inner Mongolia,5
2744,40.7471,109.812873999999,Baotou City,23,Inner Mongolia,5
2705,41.0444249999999,109.79575,Baotou City,23,Inner Mongolia,5
2496,41.091084,109.771204999999,Baotou City,23,Inner Mongolia,5
2755,41.2280999999999,109.803442,Baotou City,23,Inner Mongolia,5
2611,41.3945989999999,109.840761,Baotou City,23,Inner Mongolia,5
2489,41.5298299999999,109.859814,Baotou City,23,Inner Mongolia,5
2751,41.6158679999999,109.875075,Baotou City,23,Inner Mongolia,5
2499,41.7732999999999,109.95762,Bayan Obo Mining District,446,Inner Mongolia,5
2071,43.55449,112.077119999999,Erenhot City,325,Inner Mongolia,5
2103,43.4766899999999,112.14191,Erenhot City,325,Inner Mongolia,5
1295,43.37724,112.24357,Erenhot City,325,Inner Mongolia,5
2306,41.78408,113.14149,Ulanqab City,20,Inner Mongolia,5
797,41.70295,113.14824,Ulanqab City,20,Inner Mongolia,5
150,41.63412,113.18919,Ulanqab City,20,Inner Mongolia,5
1945,41.3823599999999,113.20359,Ulanqab City,20,Inner Mongolia,5
2090,41.30433,113.24964,Ulanqab City,20,Inner Mongolia,5
672,41.2076399999999,113.284623,Ulanqab City,20,Inner Mongolia,5
9,41.07947,113.19259,Jining,21,Inner Mongolia,5
1997,35.25571,113.64919,Huojia County,447,Henan,8
1665,35.2496149999999,113.546898,Huojia County,447,Henan,8
270,35.24306,113.439269999999,Xiuwu County,448,Henan,8
1448,35.199711,112.949389,Qinyang City,449,Henan,8
1097,35.1906299999999,112.83073,Qinyang City,449,Henan,8
1447,35.16579,112.731059,Jiyuan City,450,Henan,8
1995,35.1298999999999,112.639619999999,Jiyuan City,450,Henan,8
1520,35.1104899999999,112.57361,Jiyuan City,450,Henan,8
2121,35.04202,112.5734,Jiyuan City,450,Henan,8
1713,34.9341,112.508958,Mengjin District,451,Henan,8
1681,34.8867499999999,112.494829999999,Mengjin District,451,Henan,8
1717,34.8499199999999,112.546499999999,Mengjin District,451,Henan,8
741,34.795814,112.600594,Mengjin District,451,Henan,8
1845,35.25294,115.30627,Mudan District,102,Shandong,14
1108,35.3074379999999,114.864593,Changyuan City,232,Henan,8
829,35.225245,114.406948,Fengqiu County,452,Henan,8
987,35.1465699999999,114.19314,Yanjin,453,Henan,8
511,35.2830099999999,113.00924,Bo'ai County,149,Henan,8
82,35.3842799999999,112.92393,Zezhou,454,Shanxi,0
2068,35.4503199999999,112.87632,Jincheng City,148,Shanxi,0
1194,35.5103099999999,112.85155,Jincheng City,148,Shanxi,0
78,35.5704709999999,112.939474,Jincheng City,148,Shanxi,0
450,35.7268219999999,112.907921,Gaoping City,147,Shanxi,0
2072,35.8733819999999,112.87418,Gaoping City,147,Shanxi,0
2113,35.94341,112.85914,Jincheng City,148,Shanxi,0
2253,36.045169,112.954479,Shangdang District,455,Shanxi,0
837,36.131194,113.021835999999,Shangdang District,455,Shanxi,0
669,36.2426839999999,113.100559,Changzhi City,146,Shanxi,0
96,35.9958699999999,112.93008,Changzhi City,146,Shanxi,0
1760,35.16445,112.5903,Jiyuan City,450,Henan,8
2283,35.4926,112.49247,Yangcheng County,456,Shanxi,0
2754,45.550226,126.399615999999,Shuangcheng District,190,Heilongjiang,17
2745,45.6760719999999,126.551362999999,Harbin,138,Heilongjiang,17
1791,52.1179899999999,123.66638,碧7k镇,457,Heilongjiang,17
527,52.03548,123.60583,呼中镇,458,Heilongjiang,17
1394,34.53445,108.94677,Jingyang County,459,Shaanxi,1
25,34.605201,108.947712,Sanyuan County,460,Shaanxi,1
2278,34.6684199999999,109.229029999999,Xi'an,461,Shaanxi,1
2361,34.9701999999999,109.936359999999,Weinan City,6,Shaanxi,1
2213,34.8223199999999,109.46901,Pucheng County,462,Shaanxi,1
1347,38.2794749999999,109.726738,Yuyang District,463,Shaanxi,1
1848,37.7480499999999,110.1729,Yulin Municipality,464,Shaanxi,1
1887,37.54744,110.26432,Yulin Municipality,464,Shaanxi,1
1570,37.0889,110.12114,Yulin Municipality,464,Shaanxi,1
729,37.15317,109.74768,Zichang,465,Shaanxi,1
986,36.55745,109.48121,Yan'an City,466,Shaanxi,1
1701,36.278156,109.34684,Yan'an City,466,Shaanxi,1
818,35.9877899999999,109.37976,Yan'an City,466,Shaanxi,1
2457,35.6195799999999,109.35664,Luochuan County,467,Shaanxi,1
600,35.0921499999999,109.82419,Pucheng County,462,Shaanxi,1
735,34.9771399999999,109.76667,Pucheng County,462,Shaanxi,1
2017,34.9349399999999,109.55956,Pucheng County,462,Shaanxi,1
562,33.52628,110.901039999999,Shangnan County,468,Shaanxi,1
138,33.6801299999999,110.35422,Shangluo City,469,Shaanxi,1
564,33.82148,110.0188,Shangluo City,469,Shaanxi,1
744,30.63523,118.99245,Xuancheng City,48,Anhui,7
1892,30.06633,118.57993,Xuancheng City,48,Anhui,7
1360,29.8607599999999,118.41359,Huangshan City,470,Anhui,7
2444,29.72227,118.3222,Huangshan City,470,Anhui,7
1783,29.6,111.433711,Changde,471,Hunan,19
1627,29.6331799999999,111.75868,Changde,471,Hunan,19
1264,28.076601,108.973073,Songtao Miao Autonomous County,472,Guizhou,24
2221,27.74023,109.2046,Tongren,473,Guizhou,24
1752,28.5386899999999,112.342119999999,Yiyang,474,Hunan,19
723,27.7393299999999,112.00612,Louxing District,475,Hunan,19
1543,27.68408,111.67576,Loudi,476,Hunan,19
350,27.658953,111.467355,Lengshuijiang,477,Hunan,19
1119,27.7279899999999,111.30291,Loudi,476,Hunan,19
1590,27.92653,110.57787,Xupu,478,Hunan,19
1138,27.34869,109.19631,Xinhuang,479,Hunan,19
2412,25.61473,104.528009999999,Liupanshui,397,Guizhou,24
1698,25.384079,104.653809,Liupanshui,397,Guizhou,24
1127,25.323051,104.672209,Xingyi,417,Guizhou,24
2358,25.1117339999999,104.694643,Xingyi,417,Guizhou,24
871,25.11231,104.695672,Xingyi,417,Guizhou,24
1900,24.90794,104.316019999999,Luoping,480,Yunnan,25
2250,24.8379559999999,103.918127,Shizong,481,Yunnan,25
1687,24.9323459999999,103.213447,Yiliang,482,Yunnan,25
949,24.9192679999999,102.895805999999,Chenggong District,483,Yunnan,25
1680,24.9188699999999,102.82581,Chenggong District,483,Yunnan,25
313,36.03869,103.85526,Lanzhou,11,Gansu,2
2315,36.08608,103.65889,Chenping Subdistrict,484,Gansu,2
1409,36.726326,103.279979999999,Yongdeng,485,Gansu,2
685,36.9805199999999,103.13663,Wuwei,486,Gansu,2
1079,37.090114,102.998962,Wuwei,486,Gansu,2
2481,37.318409,102.900728,Wuwei,486,Gansu,2
488,37.4800499999999,102.91768,Wuwei,486,Gansu,2
2456,37.6568279999999,102.837787,Wuwei,486,Gansu,2
1369,37.8153999999999,102.73735,Wuwei,486,Gansu,2
1370,37.9038299999999,102.62366,Wuwei,486,Gansu,2
2208,38.3710299999999,102.06386,Yongchang County,487,Gansu,2
1673,38.47079,101.89163,Yongchang County,487,Gansu,2
1948,38.53096,101.78828,Yongchang County,487,Gansu,2
862,38.8129599999999,101.07469,Shandan,488,Gansu,2
2189,39.6455699999999,98.4516399999999,Jiuquan,489,Gansu,2
574,39.76483,98.25463,Jiayuguan,490,Gansu,2
1750,36.3367799999999,103.94311,Gaolan,491,Gansu,2
1872,36.60793,104.06397,Baiyin District,157,Gansu,2
2455,38.2604299999999,106.01888,Yinchuan City,492,Ningxia,18
1940,37.175077,105.765955,Tongxin County,493,Ningxia,18
1768,36.9915889999999,105.93987,Tongxin County,493,Ningxia,18
510,36.9941299999999,105.926599999999,Tongxin County,493,Ningxia,18
1742,36.558214,104.170106,Baiyin District,157,Gansu,2
2356,36.5603929999999,104.652705,Jingyuan,494,Gansu,2
2355,36.55158,104.67379,Jingyuan,494,Gansu,2
1774,37.61448,103.45945,Wuwei,486,Gansu,2
2461,37.6424799999999,103.34263,Wuwei,486,Gansu,2
596,37.65762,103.07811,Wuwei,486,Gansu,2
585,37.7147099999999,102.96783,Wuwei,486,Gansu,2
60,37.773502,102.832899,Wuwei,486,Gansu,2
1894,39.8014,98.2513,Jiayuguan,490,Gansu,2
1333,39.7247369999999,98.1328989999999,Jiayuguan,490,Gansu,2
1209,38.7404,106.27437,Yinchuan City,492,Ningxia,18
942,38.96041,106.46574,Shizuishan City,153,Ningxia,18
646,39.02785,106.39234,Shizuishan City,153,Ningxia,18
659,39.170521,106.373534,Shizuishan City,153,Ningxia,18
1740,39.11909,106.1412,Shizuishan City,153,Ningxia,18
1424,39.0670349999999,106.110967,Shizuishan City,153,Ningxia,18
1636,38.1579899999999,106.367459999999,Yinchuan City,492,Ningxia,18
1754,37.74038,107.355225,Yanchi,495,Ningxia,18
784,37.5622699999999,107.57743,Yulin Municipality,464,Shaanxi,1
1860,37.4480999999999,106.06652,Hongsibao,496,Ningxia,18
113,37.4494359999999,105.702027,Zhongning,497,Ningxia,18
546,42.85034,93.50678,Hami,498,Xinjiang,26
1302,43.0518799999999,92.8441499999999,Hami,498,Xinjiang,26
184,43.1440699999999,92.21913,Hami,498,Xinjiang,26
7,43.13183,89.46889,Gaochang District,499,Xinjiang,26
513,43.1514799999999,88.8753099999999,Gaochang District,499,Xinjiang,26
1298,41.10651,95.5058599999999,Guazhou County,500,Gansu,2
1869,41.533419,94.7266489999999,Dunhuang City,501,Gansu,2
863,42.1327599999999,94.1259699999999,Hami,498,Xinjiang,26
566,39.4929399999999,76.0492399999999,Kashgar City,502,Xinjiang,26
2300,39.71988,76.2225799999999,Artush,503,Xinjiang,26
905,39.83594,78.5498699999999,Maralbeshi,504,Xinjiang,26
2211,40.7083599999999,79.83972,Aksu City,505,Xinjiang,26
2297,41.1448899999999,80.30759,Aksu City,505,Xinjiang,26
1124,41.575237,82.619759,Toqsu,506,Xinjiang,26
1645,42.0766199999999,86.5450699999999,Yanqi Hui Autonomous County,507,Xinjiang,26
537,42.3030219999999,86.876934,Hoxud County,508,Xinjiang,26
2376,42.412519,87.6728569999999,Hoxud County,508,Xinjiang,26
1716,39.38214,75.99908,Shule,509,Xinjiang,26
