node,lat,lon,geometry,city,state
1015,48.902523,125.27217,POINT (125.27217 48.902523),,Heilongjiang
636,46.5986699999999,125.01187,POINT (125.01187 46.5986699999999),,Heilongjiang
13,45.8850899999999,126.46489,POINT (126.46489 45.8850899999999),Harbin,Heilongjiang
2487,48.894765,126.870686,POINT (126.870686 48.894765),龙门农场,Heilongjiang
624,46.8766699999999,123.75179,POINT (123.75179 46.8766699999999),,Heilongjiang
1440,46.98724,123.77575,POINT (123.77575 46.98724),,Heilongjiang
48,47.098325,123.842772999999,POINT (123.842772999999 47.098325),Ang'angxi,Heilongjiang
1348,47.15518,123.89574,POINT (123.89574 47.15518),,Heilongjiang
1411,46.787011,130.511613,POINT (130.511613 46.787011),,Heilongjiang
583,46.7750199999999,130.62761,POINT (130.62761 46.7750199999999),,Heilongjiang
695,46.7761629999999,130.724697999999,POINT (130.724697999999 46.7761629999999),,Heilongjiang
117,46.81177,130.87512,POINT (130.87512 46.81177),,Heilongjiang
1843,46.787457,131.003417,POINT (131.003417 46.787457),Jixian,Heilongjiang
1817,46.7221699999999,131.13432,POINT (131.13432 46.7221699999999),Jixian,Heilongjiang
408,46.7267799999999,131.37458,POINT (131.37458 46.7267799999999),,Heilongjiang
1857,46.72607,131.59555,POINT (131.59555 46.72607),,Heilongjiang
1123,46.7661799999999,131.815069999999,POINT (131.815069999999 46.7661799999999),Youyi,Heilongjiang
178,46.9198999999999,131.95362,POINT (131.95362 46.9198999999999),,Heilongjiang
823,47.23751,132.046969999999,POINT (132.046969999999 47.23751),,Heilongjiang
515,47.3082169999999,132.337167999999,POINT (132.337167999999 47.3082169999999),,Heilongjiang
479,47.3096699999999,132.497919999999,POINT (132.497919999999 47.3096699999999),,Heilongjiang
1098,47.3620299999999,133.06351,POINT (133.06351 47.3620299999999),,Heilongjiang
371,47.54417,133.12455,POINT (133.12455 47.54417),,Heilongjiang
988,47.2465899999999,132.63645,POINT (132.63645 47.2465899999999),,Heilongjiang
478,46.6453599999999,131.15181,POINT (131.15181 46.6453599999999),Jianshan District,Heilongjiang
1606,45.77608,126.65617,POINT (126.65617 45.77608),Harbin,Heilongjiang
1335,44.6779799999999,129.67558,POINT (129.67558 44.6779799999999),,Heilongjiang
209,44.82083,129.79243,POINT (129.79243 44.82083),,Heilongjiang
517,45.196807,130.095890999999,POINT (130.095890999999 45.196807),,Heilongjiang
486,45.35486,130.29472,POINT (130.29472 45.35486),,Heilongjiang
224,45.397294,130.432311,POINT (130.432311 45.397294),,Heilongjiang
2341,45.452562,130.575562999999,POINT (130.575562999999 45.452562),,Heilongjiang
2026,45.56949,130.62348,POINT (130.62348 45.56949),,Heilongjiang
255,45.62773,130.576439999999,POINT (130.576439999999 45.62773),,Heilongjiang
2149,45.7118899999999,130.54666,POINT (130.54666 45.7118899999999),,Heilongjiang
379,45.756,130.55958,POINT (130.55958 45.756),Qitaihe City,Heilongjiang
1241,45.92253,130.56388,POINT (130.56388 45.92253),,Heilongjiang
271,46.0047399999999,130.53027,POINT (130.53027 46.0047399999999),,Heilongjiang
2277,46.108879,130.523891999999,POINT (130.523891999999 46.108879),,Heilongjiang
1334,46.2439299999999,130.584579999999,POINT (130.584579999999 46.2439299999999),Huanan,Heilongjiang
295,46.334992,130.646189999999,POINT (130.646189999999 46.334992),Huanan,Heilongjiang
740,46.42199,130.66011,POINT (130.66011 46.42199),,Heilongjiang
1709,46.5974399999999,130.657649999999,POINT (130.657649999999 46.5974399999999),,Heilongjiang
2249,46.73603,130.481879999999,POINT (130.481879999999 46.73603),,Heilongjiang
667,45.8439199999999,130.58204,POINT (130.58204 45.8439199999999),,Heilongjiang
1414,49.2916799999999,120.83119,POINT (120.83119 49.2916799999999),Hulunbuir,Inner Mongolia
1662,49.4093099999999,121.1339,POINT (121.1339 49.4093099999999),Hulunbuir,Inner Mongolia
1647,49.47974,121.31971,POINT (121.31971 49.47974),Hulunbuir,Inner Mongolia
156,49.5661399999999,121.385009999999,POINT (121.385009999999 49.5661399999999),Hulunbuir,Inner Mongolia
874,49.7107499999999,121.247919999999,POINT (121.247919999999 49.7107499999999),Hulunbuir,Inner Mongolia
466,49.88678,121.395619999999,POINT (121.395619999999 49.88678),Hulunbuir,Inner Mongolia
971,50.0274199999999,121.63021,POINT (121.63021 50.0274199999999),Hulunbuir,Inner Mongolia
876,50.21123,121.785929999999,POINT (121.785929999999 50.21123),Hulunbuir,Inner Mongolia
875,50.30747,121.76097,POINT (121.76097 50.30747),Hulunbuir,Inner Mongolia
591,50.48369,121.67451,POINT (121.67451 50.48369),Hulunbuir,Inner Mongolia
241,50.62848,121.55211,POINT (121.55211 50.62848),Hulunbuir,Inner Mongolia
