st_id,st_tg,train,train_max_speed,st_id_state_num,st_tg_state_num,cluster_speed,cluster_across,cluster_overnight,cluster_distance
1558,1559,D7416,260,12,12,3,0,0,2
1820,1824,D3135,260,22,22,3,0,0,2
1529,2359,2083,100,13,13,0,0,0,2
787,2246,G7697,350,6,9,4,1,0,2
1384,317,K976,120,8,8,1,0,0,2
1824,1820,D6226,260,22,22,3,0,0,2
2727,2779,G475,350,14,14,4,0,0,2
2359,1529,K716,120,13,13,1,0,0,2
1670,2311,K457,120,20,20,1,0,0,2
2203,570,G7319,350,9,9,4,0,0,2
848,2237,K8178,120,1,1,1,0,0,2
787,2246,G596,350,6,9,4,1,0,2
573,1267,K13,120,9,9,1,0,0,2
2338,1487,K7390,120,16,16,1,0,0,2
2246,787,G7657,350,9,6,4,1,0,2
317,1384,K1132,120,8,8,1,0,0,2
1384,317,K31,120,8,8,1,0,0,2
2246,787,G7634,350,9,6,4,1,0,2
1820,1824,D3211,260,22,22,3,0,0,2
2246,787,G52,350,9,6,4,1,0,2
1571,953,G6011,350,12,12,4,0,0,2
683,1376,C2202,350,3,3,4,0,0,2
1375,1416,D5853,260,10,10,3,0,0,2
2497,1773,4355,100,16,16,0,0,0,2
1376,683,C2201,350,3,3,4,0,0,2
2075,375,K7041,120,5,17,1,1,0,2
354,215,2685,100,13,13,0,0,0,2
2478,216,K1135,120,11,11,1,0,0,2
6,379,K7026,120,17,17,1,0,0,2
1583,1045,G7694,350,9,9,4,0,0,2
1376,683,C2203,350,3,3,4,0,0,2
317,1384,K926,120,8,8,1,0,0,2
317,1384,4714,100,8,8,0,0,0,2
2246,787,G7693,350,9,6,4,1,0,2
1256,1532,G7306,350,9,9,4,0,0,2
2359,1529,K7376,120,13,13,1,0,0,2
1487,2338,K7388,120,16,16,1,0,0,2
216,2478,K441,120,11,11,1,0,0,2
2246,787,G7344,350,9,6,4,1,0,2
1256,1532,G7316,350,9,9,4,0,0,2
1045,1583,G7344,350,9,9,4,0,0,2
1384,317,K928,120,8,8,1,0,0,2
2338,1487,K7377,120,16,16,1,0,0,2
966,1038,D6391,260,11,11,3,0,0,2
1351,698,K961,120,0,0,1,0,0,2
683,1376,C2218,350,3,3,4,0,0,2
683,1376,C2208,350,3,3,4,0,0,2
1376,683,C2207,350,3,3,4,0,0,2
1529,2359,K188,120,13,13,1,0,0,2
465,2286,6818,100,0,0,0,0,0,2
2139,514,K793,120,11,11,1,0,0,2
1558,1559,D7408,260,12,12,3,0,0,2
2779,2727,G476,350,14,14,4,0,0,2
570,2203,G7364,350,9,9,4,0,0,2
215,354,2258,100,13,13,0,0,0,2
1375,1416,D5931,260,10,10,3,0,0,2
317,1384,K1101,120,8,8,1,0,0,2
1285,1598,G140,350,14,14,4,0,0,2
1375,1416,D5992,260,10,10,3,0,0,2
683,1376,C2214,350,3,3,4,0,0,2
2237,848,K8176,120,1,1,1,0,0,2
1353,1134,K115,120,11,11,1,0,0,2
465,1049,K7803,120,0,0,1,0,0,2
1049,465,K7802,120,0,0,1,0,0,2
1285,1598,G208,350,14,14,4,0,0,2
2203,570,G7361,350,9,9,4,0,0,2
317,1384,1304,100,8,8,0,0,0,2
1384,317,K718,120,8,8,1,0,0,2
1529,2359,K7381,120,13,13,1,0,0,2
279,2029,G6234,350,12,12,4,0,0,2
1583,1045,G7609,350,9,9,4,0,0,2
848,1166,K8176,120,1,1,1,0,0,2
1376,683,C2215,350,3,3,4,0,0,2
1824,1820,D3204,260,22,22,3,0,0,2
2311,1670,5538,100,20,20,0,0,0,2
2497,1773,4352,100,16,16,0,0,0,2
1653,389,K430,120,4,21,1,1,0,2
1598,1285,G297,350,14,14,4,0,0,2
1598,1285,G225,350,14,14,4,0,0,2
1045,1583,G7640,350,9,9,4,0,0,2
1376,683,C2221,350,3,3,4,0,0,2
1375,1416,D5993,260,10,10,3,0,0,2
1351,698,4611,100,0,0,0,0,0,2
2311,1670,5539,100,20,20,0,0,0,2
1265,572,D3135,260,9,9,3,0,0,2
570,2203,D5432,260,9,9,3,0,0,2
787,2246,D3213,260,6,9,3,1,0,2
1558,1559,D7418,260,12,12,3,0,0,2
1598,1285,G228,350,14,14,4,0,0,2
1558,1559,D7402,260,12,12,3,0,0,2
2359,1529,Z188,160,13,13,2,0,0,2
566,2300,7555,100,26,26,0,0,0,2
