node,lat,lon,state,state_num
1828,28.4449399999999,109.01578,Chongqing,23
112,29.301786,107.849012,Chongqing,23
1378,29.32607,107.77634,Chongqing,23
1652,29.55262,103.52453,Sichuan,15
1470,29.41841,103.544256,Sichuan,15
2122,29.319403,103.567721,Sichuan,15
364,29.2739189999999,103.532373,Sichuan,15
238,29.3121599999999,103.460849999999,Sichuan,15
1252,29.3041799999999,103.39964,Sichuan,15
318,29.305574,103.321611,Sichuan,15
884,29.25769,103.27759,Sichuan,15
1290,29.2588599999999,103.18552,Sichuan,15
2198,29.2883099999999,103.10652,Sichuan,15
321,29.28863,103.02722,Sichuan,15
1418,29.2326699999999,102.90572,Sichuan,15
860,29.2028199999999,102.86197,Sichuan,15
1964,29.14591,102.87281,Sichuan,15
351,29.08735,102.82366,Sichuan,15
602,29.02683,102.79927,Sichuan,15
433,28.93478,102.72777,Sichuan,15
2302,28.8879069999999,102.679435,Sichuan,15
1725,28.80993,102.6032,Sichuan,15
1739,28.7554599999999,102.61045,Sichuan,15
2116,28.7370899999999,102.60348,Sichuan,15
2220,28.6901699999999,102.59894,Sichuan,15
68,28.6310199999999,102.626949999999,Sichuan,15
1093,28.57401,102.636399999999,Sichuan,15
1206,28.5145599999999,102.65121,Sichuan,15
1702,28.97888,102.76136,Sichuan,15
2194,29.5497699999999,106.547529999999,Chongqing,23
1975,29.4272479999999,106.501771,Chongqing,23
834,29.2642099999999,106.43873,Chongqing,23
12,29.2310899999999,106.43633,Chongqing,23
1385,29.15512,106.47026,Chongqing,23
615,29.0727499999999,106.51245,Chongqing,23
1855,29.01753,106.66386,Chongqing,23
38,28.94745,106.70234,Chongqing,23
2241,28.7870899999999,106.67562,Chongqing,23
2114,28.74632,106.711519999999,Chongqing,23
1784,28.6698899999999,106.8217,Chongqing,23
1229,28.634664,106.868747,Guizhou,24
1259,28.55403,106.87342,Guizhou,24
21,28.490976,106.837819,Guizhou,24
2014,28.43309,106.84363,Guizhou,24
697,28.3930399999999,106.85308,Guizhou,24
179,28.35934,106.84562,Guizhou,24
648,28.319711,106.844658999999,Guizhou,24
1126,28.29186,106.8417,Guizhou,24
276,28.191094,106.839866,Guizhou,24
1326,28.1304699999999,106.83207,Guizhou,24
1873,28.06513,106.8507,Guizhou,24
722,28.0336099999999,106.89995,Guizhou,24
1413,27.9685799999999,106.92313,Guizhou,24
1260,27.91532,106.957629999999,Guizhou,24
